,assists,visionScore,timeCCingOthers,deaths,kills,longestTimeSpentLiving,champLevel,totalHeal,totalDamageDealtToChampions
427,10,18,14,7,11,498,17,8778,28888
428,9,15,26,4,15,1414,16,10995,24673
429,16,35,46,5,8,879,17,16178,24967
430,19,34,107,10,5,638,17,5194,16442
431,11,25,59,9,11,826,17,1910,27333
432,13,20,0,8,5,620,17,11537,17178
433,10,11,11,9,22,569,18,10832,54252
434,15,21,55,13,7,573,17,4003,24437
435,11,27,38,8,6,659,18,5312,23629
436,11,18,41,13,11,296,17,1214,30029
437,14,80,73,12,16,310,16,2174,50969
438,18,26,45,7,7,909,16,4912,17742
439,11,38,3,10,8,611,16,812,25075
440,8,31,6,7,9,415,18,3142,28150
441,6,75,20,7,1,617,15,9460,9623
442,7,17,6,6,10,1056,17,6712,25255
443,9,11,9,7,9,583,17,5520,28571
444,12,63,38,8,3,535,15,3077,10822
445,22,47,30,7,1,562,14,15431,8533
446,12,23,3,7,9,726,16,6250,31710
447,18,27,9,5,5,1024,16,2492,21923
448,5,21,8,9,11,418,17,7770,25349
449,9,15,11,4,9,1407,17,3258,20815
450,13,45,30,3,9,595,16,22688,16770
451,7,21,37,6,4,697,15,2358,21859
452,9,22,37,2,10,1684,16,6294,23339
453,5,17,16,1,14,1109,16,5739,27577
454,11,36,17,2,0,627,14,9222,8239
455,1,5,11,10,2,792,13,1483,13975
456,5,13,76,5,0,825,13,2154,10980
457,3,23,9,12,7,321,13,11399,21374
458,2,15,15,5,2,596,15,1175,14001
459,5,18,111,6,3,733,16,11986,21512
460,11,17,19,13,5,291,15,3910,28313
461,13,19,72,11,14,401,18,4236,36992
462,7,10,29,9,7,612,17,6378,13947
463,25,30,56,11,4,442,15,6335,18998
464,12,17,21,6,10,1177,17,1642,26053
465,31,59,46,9,5,575,17,16910,6981
466,7,4,5,9,4,525,18,9450,18083
467,16,15,6,6,7,557,17,12462,16684
468,18,31,51,8,21,487,18,6408,65577
469,17,15,26,9,13,635,18,8447,41901
470,16,26,64,13,5,319,15,18400,11702
471,2,21,27,10,16,480,17,2007,27614
472,8,14,33,11,17,316,17,4311,28919
473,14,19,35,5,4,990,16,4179,17942
474,15,19,38,7,2,1114,17,3826,10661
475,10,9,59,9,12,430,18,1134,40550
476,13,22,34,5,10,722,17,11052,17730
477,21,18,12,8,6,513,16,3403,22952
478,15,19,4,12,12,470,15,1146,28186
479,23,57,45,11,6,530,15,1901,21975
480,20,54,97,5,0,891,17,23635,22703
481,6,18,14,8,11,631,17,4579,27947
482,8,30,30,5,16,719,18,8217,50746
483,2,31,20,1,5,1801,18,7648,15820
484,21,77,39,4,0,773,16,12697,3955
485,9,13,48,6,7,716,16,8380,19209
486,8,17,22,7,6,744,18,1152,38817
487,7,23,0,7,7,418,16,7117,18997
488,15,50,37,7,2,716,15,3391,8830
489,12,18,29,5,1,797,18,2436,9873
490,6,13,23,8,7,796,16,2903,24232
491,6,27,5,5,5,1078,17,9480,18022
492,2,11,23,9,4,563,18,3845,14738
493,6,26,5,9,13,447,18,9648,34150
494,9,44,43,8,2,1124,15,1165,9877
495,11,58,34,4,2,998,17,3061,10389
496,8,47,20,8,11,565,18,3599,29075
497,6,21,48,5,5,815,17,2330,19771
498,10,18,39,5,5,791,18,3068,27435
499,4,17,11,9,16,595,17,16844,28910
500,9,28,19,3,5,1150,15,7514,12174
501,6,32,7,1,8,2038,15,7130,28583
502,14,21,32,9,2,656,16,7279,19640
503,8,19,33,2,6,882,16,1323,34747
504,18,65,51,2,0,1795,14,37481,6312
505,10,64,23,5,2,881,13,3796,6632
506,5,33,8,3,7,888,15,2752,23479
507,9,25,43,5,3,676,15,9556,15641
508,6,29,18,4,4,1177,16,3861,21110
509,10,33,54,4,1,1343,16,12346,16160
510,11,20,28,3,6,1007,15,3278,23015
511,4,16,6,7,4,402,16,5166,10565
512,15,19,54,4,6,893,15,6989,22666
513,12,10,7,1,9,1203,16,6587,20859
514,8,23,31,3,14,1168,16,13958,27245
515,9,52,38,6,1,896,14,7983,9058
516,6,6,21,6,3,657,14,10713,12260
517,1,17,12,10,3,287,14,3921,12713
518,2,20,48,8,10,692,17,8781,33191
519,2,21,12,9,1,620,14,1758,9027
520,7,15,21,8,10,606,17,882,28646
521,22,46,41,7,0,599,16,4981,7247
522,3,18,10,13,11,498,16,2823,28072
523,8,20,24,6,5,604,17,4095,16228
524,3,18,9,13,8,736,17,9492,20009
525,25,20,48,6,8,656,17,3898,26607
526,14,35,50,7,11,409,18,6655,39954
527,10,24,11,8,14,464,18,1409,26851
528,16,26,53,9,8,590,17,7319,27117
529,18,26,21,4,6,787,18,7680,12030
530,13,14,29,9,7,741,17,4868,30676
531,9,14,31,13,7,269,15,6225,26908
532,18,80,58,8,2,512,16,4324,9379
533,8,13,34,4,6,862,18,3698,35152
534,5,19,25,11,12,319,17,16397,23063
535,11,21,50,8,18,656,18,2219,49786
536,21,62,84,3,4,981,17,13223,15950
537,12,39,38,5,11,780,18,4862,26786
538,18,21,50,8,5,432,18,17370,21211
539,18,8,3,10,7,686,17,9375,30040
540,22,65,19,5,0,815,15,7464,7033
541,8,16,16,1,11,1309,18,35015,40545
542,9,22,15,6,7,766,16,2236,21968
543,3,21,4,4,10,694,16,3224,19967
544,16,72,42,2,2,1137,16,12422,15070
545,7,21,13,9,7,861,13,1850,21480
546,12,19,30,6,0,504,14,9572,9395
547,2,20,7,5,9,863,16,1882,23596
548,4,24,23,5,2,767,16,8738,19545
549,13,45,26,5,0,866,13,11215,6179
550,8,23,20,6,20,378,18,8361,42021
551,19,24,88,5,4,619,17,14458,23472
552,18,29,48,4,9,606,18,14475,39827
553,13,32,11,3,7,1150,18,20358,20033
554,25,39,55,9,1,291,16,9751,11812
555,7,16,106,6,9,650,16,13561,27749
556,14,43,34,10,1,465,13,6872,9681
557,13,16,10,9,6,452,15,3411,32970
558,9,36,25,9,6,605,16,4849,31520
559,6,34,30,7,5,774,16,9495,21340
560,0,29,26,11,7,575,15,3447,16834
561,4,19,32,5,1,903,15,7689,13157
562,5,76,45,3,0,694,12,3172,4089
563,2,17,3,5,2,796,14,5627,13662
564,3,19,76,1,2,991,14,9618,22637
565,4,29,17,1,11,1333,17,1900,28141
566,7,21,20,3,9,983,15,3396,23810
567,10,21,7,5,2,746,15,11325,13192
568,17,65,46,2,2,725,15,3567,11082
569,12,15,53,1,1,628,16,11452,10821
570,12,39,22,6,5,632,14,3905,22347
571,1,27,10,2,7,704,18,10707,24234
572,8,16,31,3,9,1015,16,17268,23569
573,15,66,35,4,0,637,14,13532,7577
574,5,21,28,4,7,742,15,988,19349
575,7,20,16,3,9,863,16,6565,20460
576,13,29,32,5,1,629,17,3120,15623
577,10,38,33,5,1,703,13,1168,17467
578,6,22,53,5,4,586,16,13454,33368
579,3,49,17,10,4,420,13,6524,9410
580,7,9,13,7,1,446,16,4918,14232
581,4,13,7,6,3,778,13,4901,13742
582,2,27,21,7,5,813,14,15476,11736
583,2,58,18,7,3,531,13,1012,10541
584,1,12,32,9,0,849,14,1725,15517
585,13,25,45,3,11,970,15,6066,22461
586,18,23,28,2,7,1123,16,10718,17003
587,19,35,39,1,3,973,15,2940,16970
588,10,29,47,2,6,1377,16,6010,15215
589,5,27,17,4,9,552,17,4112,16552
590,22,58,61,4,3,1468,15,3432,8919
591,16,20,54,5,11,780,18,12507,26842
592,8,28,55,8,12,485,17,826,38607
593,18,13,57,10,3,448,16,6123,19236
594,6,22,10,5,14,1002,17,8147,28143
595,9,9,21,10,6,574,16,7098,21597
596,5,17,134,9,11,1045,16,15307,23190
597,11,20,38,7,9,1003,17,2143,29275
598,13,25,23,10,4,675,15,3581,20432
599,13,50,35,7,1,427,15,12086,4347
600,13,23,44,2,6,536,17,13156,25800
601,13,15,20,5,7,359,18,2734,27012
602,17,53,48,5,1,892,15,8337,7737
603,10,25,11,4,7,786,17,3765,18512
604,7,13,9,5,12,627,18,19471,26484
605,6,37,26,6,6,746,15,15025,14164
606,9,19,82,7,6,487,17,1717,48872
607,8,15,26,8,3,580,15,5522,20650
608,13,86,45,7,1,599,13,873,7771
609,4,17,18,5,5,625,16,3175,20736
610,21,63,72,12,1,555,14,602,12731
611,11,4,17,12,7,278,15,3867,21601
612,8,17,43,10,4,355,16,17142,15676
613,8,21,34,8,9,593,16,8967,27081
614,6,22,5,11,12,516,15,2841,24261
615,10,15,10,5,25,765,18,7512,42816
616,15,16,45,9,6,580,16,12796,18492
617,18,14,39,9,6,327,15,3909,18268
618,8,49,16,4,10,545,18,7308,26602
619,22,51,65,6,6,433,16,5012,16564
620,9,11,31,6,1,1384,15,2740,15596
621,7,17,29,7,8,515,17,3849,20639
622,4,44,16,6,10,691,17,18270,18802
623,8,17,23,6,8,1085,16,7418,25511
